* ID=Minilog-II-T
* Serial Number=353785
* Study ID=Melrose 2017 - 15m
* Start Time=2017-06-28 19:00:00
* Finish Time=2017-10-18 03:00:00
* Sample Period=01:00:00
* Date(yyyy-mm-dd),Time(hh:mm:ss),Temperature (°C)
2017-07-11,06:00:00,0.42
2017-07-11,07:00:00,0.39
2017-07-11,08:00:00,0.4
2017-07-11,09:00:00,0.41
2017-07-11,10:00:00,0.66
2017-07-11,11:00:00,1.23
2017-07-11,12:00:00,2.23
2017-07-11,13:00:00,5.53
2017-07-11,14:00:00,6.37
2017-07-11,15:00:00,4.05
2017-07-11,16:00:00,1.88
2017-07-11,17:00:00,1.86
2017-07-11,18:00:00,1.51
2017-07-11,19:00:00,0.81
2017-07-11,20:00:00,0.84
2017-07-11,21:00:00,0.47
2017-07-11,22:00:00,0.51
2017-07-11,23:00:00,0.53
2017-07-12,00:00:00,0.91
2017-07-12,01:00:00,1.0
2017-07-12,02:00:00,1.02
2017-07-12,03:00:00,0.85
2017-07-12,04:00:00,0.84
2017-07-12,05:00:00,0.83
2017-07-12,06:00:00,0.83
2017-07-12,07:00:00,0.61
2017-07-12,08:00:00,0.57
2017-07-12,09:00:00,0.71
2017-07-12,10:00:00,0.84
2017-07-12,11:00:00,0.79
2017-07-12,12:00:00,0.92
2017-07-12,13:00:00,1.36
2017-07-12,14:00:00,1.9
2017-07-12,15:00:00,2.56
2017-07-12,16:00:00,2.34
2017-07-12,17:00:00,1.93
2017-07-12,18:00:00,1.26
2017-07-12,19:00:00,0.48
2017-07-12,20:00:00,0.76
2017-07-12,21:00:00,0.86
2017-07-12,22:00:00,0.75
2017-07-12,23:00:00,0.73
2017-07-13,00:00:00,0.88
2017-07-13,01:00:00,1.46
2017-07-13,02:00:00,1.49
2017-07-13,03:00:00,1.63
2017-07-13,04:00:00,1.69
2017-07-13,05:00:00,1.63
2017-07-13,06:00:00,1.11
2017-07-13,07:00:00,0.78
2017-07-13,08:00:00,0.63
2017-07-13,09:00:00,0.73
2017-07-13,10:00:00,1.14
2017-07-13,11:00:00,1.46
2017-07-13,12:00:00,3.0
2017-07-13,13:00:00,5.14
2017-07-13,14:00:00,3.11
2017-07-13,15:00:00,1.37
2017-07-13,16:00:00,0.62
2017-07-13,17:00:00,0.9
2017-07-13,18:00:00,1.19
2017-07-13,19:00:00,1.35
2017-07-13,20:00:00,1.77
2017-07-13,21:00:00,3.36
2017-07-13,22:00:00,5.19
2017-07-13,23:00:00,6.8
2017-07-14,00:00:00,8.46
2017-07-14,01:00:00,8.7
2017-07-14,02:00:00,9.05
2017-07-14,03:00:00,7.43
2017-07-14,04:00:00,5.15
2017-07-14,05:00:00,1.33
2017-07-14,06:00:00,1.1
2017-07-14,07:00:00,1.14
2017-07-14,08:00:00,0.94
2017-07-14,09:00:00,1.08
2017-07-14,10:00:00,1.68
2017-07-14,11:00:00,2.21
2017-07-14,12:00:00,2.73
2017-07-14,13:00:00,6.02
2017-07-14,14:00:00,7.08
2017-07-14,15:00:00,7.12
2017-07-14,16:00:00,7.02
2017-07-14,17:00:00,7.03
2017-07-14,18:00:00,6.85
2017-07-14,19:00:00,4.36
2017-07-14,20:00:00,1.27
2017-07-14,21:00:00,1.75
2017-07-14,22:00:00,2.39
2017-07-14,23:00:00,6.64
2017-07-15,00:00:00,7.57
2017-07-15,01:00:00,8.74
2017-07-15,02:00:00,10.15
2017-07-15,03:00:00,10.66
2017-07-15,04:00:00,10.02
2017-07-15,05:00:00,7.27
2017-07-15,06:00:00,5.75
2017-07-15,07:00:00,3.86
2017-07-15,08:00:00,3.25
2017-07-15,09:00:00,2.32
2017-07-15,10:00:00,1.67
2017-07-15,11:00:00,1.13
2017-07-15,12:00:00,1.56
2017-07-15,13:00:00,1.59
2017-07-15,14:00:00,1.66
2017-07-15,15:00:00,2.24
2017-07-15,16:00:00,2.45
2017-07-15,17:00:00,2.23
2017-07-15,18:00:00,2.6
2017-07-15,19:00:00,2.0
2017-07-15,20:00:00,1.72
2017-07-15,21:00:00,1.55
2017-07-15,22:00:00,1.18
2017-07-15,23:00:00,1.1
2017-07-16,00:00:00,1.59
2017-07-16,01:00:00,2.17
2017-07-16,02:00:00,2.12
2017-07-16,03:00:00,2.13
2017-07-16,04:00:00,2.2
2017-07-16,05:00:00,2.9
2017-07-16,06:00:00,3.25
2017-07-16,07:00:00,3.48
2017-07-16,08:00:00,2.78
2017-07-16,09:00:00,2.48
2017-07-16,10:00:00,2.58
2017-07-16,11:00:00,2.82
2017-07-16,12:00:00,2.97
2017-07-16,13:00:00,3.8
2017-07-16,14:00:00,5.42
2017-07-16,15:00:00,4.48
2017-07-16,16:00:00,3.73
2017-07-16,17:00:00,3.34
2017-07-16,18:00:00,3.5
2017-07-16,19:00:00,3.6
2017-07-16,20:00:00,3.62
2017-07-16,21:00:00,2.79
2017-07-16,22:00:00,1.61
2017-07-16,23:00:00,3.43
2017-07-17,00:00:00,4.07
2017-07-17,01:00:00,5.09
2017-07-17,02:00:00,5.43
2017-07-17,03:00:00,5.98
2017-07-17,04:00:00,6.31
2017-07-17,05:00:00,5.39
2017-07-17,06:00:00,3.24
2017-07-17,07:00:00,2.6
2017-07-17,08:00:00,1.82
2017-07-17,09:00:00,1.25
2017-07-17,10:00:00,1.15
2017-07-17,11:00:00,1.17
2017-07-17,12:00:00,1.76
2017-07-17,13:00:00,3.51
2017-07-17,14:00:00,6.6
2017-07-17,15:00:00,8.11
2017-07-17,16:00:00,8.35
2017-07-17,17:00:00,9.25
2017-07-17,18:00:00,9.25
2017-07-17,19:00:00,9.45
2017-07-17,20:00:00,9.3
2017-07-17,21:00:00,6.62
2017-07-17,22:00:00,4.92
2017-07-17,23:00:00,3.37
2017-07-18,00:00:00,2.41
2017-07-18,01:00:00,2.12
2017-07-18,02:00:00,1.81
2017-07-18,03:00:00,2.35
2017-07-18,04:00:00,3.13
2017-07-18,05:00:00,4.1
2017-07-18,06:00:00,3.94
2017-07-18,07:00:00,4.56
2017-07-18,08:00:00,4.12
2017-07-18,09:00:00,4.12
2017-07-18,10:00:00,3.13
2017-07-18,11:00:00,2.51
2017-07-18,12:00:00,3.14
2017-07-18,13:00:00,3.07
2017-07-18,14:00:00,2.58
2017-07-18,15:00:00,2.35
2017-07-18,16:00:00,2.07
2017-07-18,17:00:00,1.83
2017-07-18,18:00:00,2.17
2017-07-18,19:00:00,1.59
2017-07-18,20:00:00,1.99
2017-07-18,21:00:00,2.37
2017-07-18,22:00:00,2.71
2017-07-18,23:00:00,2.21
2017-07-19,00:00:00,2.0
2017-07-19,01:00:00,2.31
2017-07-19,02:00:00,3.0
2017-07-19,03:00:00,3.49
2017-07-19,04:00:00,3.43
2017-07-19,05:00:00,3.73
2017-07-19,06:00:00,2.82
2017-07-19,07:00:00,2.75
2017-07-19,08:00:00,1.88
2017-07-19,09:00:00,1.31
2017-07-19,10:00:00,1.0
2017-07-19,11:00:00,1.2
2017-07-19,12:00:00,0.89
2017-07-19,13:00:00,0.8
2017-07-19,14:00:00,0.87
2017-07-19,15:00:00,1.01
2017-07-19,16:00:00,1.48
2017-07-19,17:00:00,2.68
2017-07-19,18:00:00,3.81
2017-07-19,19:00:00,4.53
2017-07-19,20:00:00,5.82
2017-07-19,21:00:00,7.21
2017-07-19,22:00:00,3.9
2017-07-19,23:00:00,2.46
2017-07-20,00:00:00,1.7
2017-07-20,01:00:00,1.24
2017-07-20,02:00:00,1.22
2017-07-20,03:00:00,1.9
2017-07-20,04:00:00,2.7
2017-07-20,05:00:00,3.08
2017-07-20,06:00:00,4.81
2017-07-20,07:00:00,2.84
2017-07-20,08:00:00,1.94
2017-07-20,09:00:00,2.98
2017-07-20,10:00:00,2.56
2017-07-20,11:00:00,2.42
2017-07-20,12:00:00,2.48
2017-07-20,13:00:00,4.45
2017-07-20,14:00:00,3.91
2017-07-20,15:00:00,3.62
2017-07-20,16:00:00,5.41
2017-07-20,17:00:00,3.29
2017-07-20,18:00:00,1.84
2017-07-20,19:00:00,1.79
2017-07-20,20:00:00,1.21
2017-07-20,21:00:00,1.57
2017-07-20,22:00:00,0.78
2017-07-20,23:00:00,0.75
2017-07-21,00:00:00,0.64
2017-07-21,01:00:00,0.58
2017-07-21,02:00:00,0.53
2017-07-21,03:00:00,0.88
2017-07-21,04:00:00,2.2
2017-07-21,05:00:00,4.81
2017-07-21,06:00:00,4.54
2017-07-21,07:00:00,9.64
2017-07-21,08:00:00,10.16
2017-07-21,09:00:00,11.03
2017-07-21,10:00:00,11.78
2017-07-21,11:00:00,12.1
2017-07-21,12:00:00,12.22
2017-07-21,13:00:00,12.21
2017-07-21,14:00:00,4.26
2017-07-21,15:00:00,7.42
2017-07-21,16:00:00,8.29
2017-07-21,17:00:00,8.73
2017-07-21,18:00:00,2.09
2017-07-21,19:00:00,1.94
2017-07-21,20:00:00,2.23
2017-07-21,21:00:00,3.3
2017-07-21,22:00:00,4.08
2017-07-21,23:00:00,4.43
2017-07-22,00:00:00,4.36
2017-07-22,01:00:00,4.13
2017-07-22,02:00:00,1.99
2017-07-22,03:00:00,1.17
2017-07-22,04:00:00,1.12
2017-07-22,05:00:00,2.52
2017-07-22,06:00:00,3.01
2017-07-22,07:00:00,3.12
2017-07-22,08:00:00,5.12
2017-07-22,09:00:00,5.65
2017-07-22,10:00:00,3.16
2017-07-22,11:00:00,3.08
2017-07-22,12:00:00,2.9
2017-07-22,13:00:00,2.78
2017-07-22,14:00:00,3.03
2017-07-22,15:00:00,2.94
2017-07-22,16:00:00,2.67
2017-07-22,17:00:00,3.27
2017-07-22,18:00:00,3.88
2017-07-22,19:00:00,3.77
2017-07-22,20:00:00,3.5
2017-07-22,21:00:00,2.53
2017-07-22,22:00:00,1.66
2017-07-22,23:00:00,1.76
2017-07-23,00:00:00,1.83
2017-07-23,01:00:00,1.74
2017-07-23,02:00:00,1.55
2017-07-23,03:00:00,1.31
2017-07-23,04:00:00,1.09
2017-07-23,05:00:00,1.05
2017-07-23,06:00:00,1.08
2017-07-23,07:00:00,2.02
2017-07-23,08:00:00,2.65
2017-07-23,09:00:00,4.36
2017-07-23,10:00:00,4.99
2017-07-23,11:00:00,5.98
2017-07-23,12:00:00,6.77
2017-07-23,13:00:00,7.44
2017-07-23,14:00:00,6.37
2017-07-23,15:00:00,4.55
2017-07-23,16:00:00,3.58
2017-07-23,17:00:00,2.12
2017-07-23,18:00:00,2.59
2017-07-23,19:00:00,4.34
2017-07-23,20:00:00,7.71
