* ID=Minilog-II-T
* Serial Number=353783
* Study ID=Melrose 2018 (15m)
* Start Time=2018-06-15 14:27:52
* Finish Time=2018-10-10 11:27:52
* Sample Period=01:00:00
* Date(yyyy-mm-dd),Time(hh:mm:ss),Temperature (°C)
2018-06-24,08:27:52,1.28
2018-06-24,09:27:52,1.71
2018-06-24,10:27:52,1.80
2018-06-24,11:27:52,2.12
2018-06-24,12:27:52,2.71
2018-06-24,13:27:52,2.93
2018-06-24,14:27:52,3.40
2018-06-24,15:27:52,3.66
2018-06-24,16:27:52,3.92
2018-06-24,17:27:52,4.17
2018-06-24,18:27:52,4.46
2018-06-24,19:27:52,4.52
2018-06-24,20:27:52,4.90
2018-06-24,21:27:52,5.05
2018-06-24,22:27:52,5.17
2018-06-24,23:27:52,5.48
2018-06-25,00:27:52,5.52
2018-06-25,01:27:52,5.31
2018-06-25,02:27:52,5.72
2018-06-25,03:27:52,6.03
2018-06-25,04:27:52,6.15
2018-06-25,05:27:52,6.12
2018-06-25,06:27:52,6.15
2018-06-25,07:27:52,6.16
2018-06-25,08:27:52,6.18
2018-06-25,09:27:52,6.07
2018-06-25,10:27:52,6.03
2018-06-25,11:27:52,6.04
2018-06-25,12:27:52,6.18
2018-06-25,13:27:52,6.24
2018-06-25,14:27:52,6.27
2018-06-25,15:27:52,6.29
2018-06-25,16:27:52,6.30
2018-06-25,17:27:52,6.30
2018-06-25,18:27:52,6.31
2018-06-25,19:27:52,6.32
2018-06-25,20:27:52,6.33
2018-06-25,21:27:52,6.34
2018-06-25,22:27:52,6.25
2018-06-25,23:27:52,6.21
2018-06-26,00:27:52,6.20
2018-06-26,01:27:52,6.18
2018-06-26,02:27:52,6.15
2018-06-26,03:27:52,6.13
2018-06-26,04:27:52,6.09
2018-06-26,05:27:52,6.07
2018-06-26,06:27:52,6.07
2018-06-26,07:27:52,6.08
2018-06-26,08:27:52,6.04
2018-06-26,09:27:52,6.03
2018-06-26,10:27:52,6.02
2018-06-26,11:27:52,5.99
2018-06-26,12:27:52,5.96
2018-06-26,13:27:52,5.93
2018-06-26,14:27:52,5.95
2018-06-26,15:27:52,5.93
2018-06-26,16:27:52,5.94
2018-06-26,17:27:52,5.93
2018-06-26,18:27:52,5.93
2018-06-26,19:27:52,5.96
2018-06-26,20:27:52,5.96
2018-06-26,21:27:52,5.97
2018-06-26,22:27:52,5.94
2018-06-26,23:27:52,5.96
2018-06-27,00:27:52,5.96
2018-06-27,01:27:52,5.94
2018-06-27,02:27:52,5.93
2018-06-27,03:27:52,5.92
2018-06-27,04:27:52,5.92
2018-06-27,05:27:52,5.91
2018-06-27,06:27:52,5.94
2018-06-27,07:27:52,5.96
2018-06-27,08:27:52,5.96
2018-06-27,09:27:52,5.92
2018-06-27,10:27:52,5.89
2018-06-27,11:27:52,5.79
2018-06-27,12:27:52,5.14
2018-06-27,13:27:52,4.48
2018-06-27,14:27:52,4.41
2018-06-27,15:27:52,3.95
2018-06-27,16:27:52,3.78
2018-06-27,17:27:52,3.72
2018-06-27,18:27:52,3.68
2018-06-27,19:27:52,3.62
2018-06-27,20:27:52,3.60
2018-06-27,21:27:52,3.58
2018-06-27,22:27:52,3.53
2018-06-27,23:27:52,3.14
2018-06-28,00:27:52,2.90
2018-06-28,01:27:52,2.34
2018-06-28,02:27:52,2.36
2018-06-28,03:27:52,2.34
2018-06-28,04:27:52,2.43
2018-06-28,05:27:52,2.45
2018-06-28,06:27:52,2.50
2018-06-28,07:27:52,3.87
2018-06-28,08:27:52,3.96
2018-06-28,09:27:52,3.78
2018-06-28,10:27:52,3.84
2018-06-28,11:27:52,3.89
2018-06-28,12:27:52,4.01
2018-06-28,13:27:52,3.78
2018-06-28,14:27:52,3.60
2018-06-28,15:27:52,3.57
2018-06-28,16:27:52,3.47
2018-06-28,17:27:52,3.28
2018-06-28,18:27:52,3.31
2018-06-28,19:27:52,3.04
2018-06-28,20:27:52,2.90
2018-06-28,21:27:52,2.78
2018-06-28,22:27:52,2.62
2018-06-28,23:27:52,2.57
2018-06-29,00:27:52,1.92
2018-06-29,01:27:52,1.73
2018-06-29,02:27:52,1.63
2018-06-29,03:27:52,1.70
2018-06-29,04:27:52,1.74
2018-06-29,05:27:52,1.66
2018-06-29,06:27:52,1.56
2018-06-29,07:27:52,1.57
2018-06-29,08:27:52,1.59
2018-06-29,09:27:52,1.54
2018-06-29,10:27:52,1.58
2018-06-29,11:27:52,1.60
2018-06-29,12:27:52,1.66
2018-06-29,13:27:52,1.81
2018-06-29,14:27:52,1.99
2018-06-29,15:27:52,2.06
2018-06-29,16:27:52,2.14
2018-06-29,17:27:52,2.24
2018-06-29,18:27:52,2.30
2018-06-29,19:27:52,2.31
2018-06-29,20:27:52,2.26
2018-06-29,21:27:52,2.25
2018-06-29,22:27:52,2.16
2018-06-29,23:27:52,2.13
2018-06-30,00:27:52,2.07
2018-06-30,01:27:52,2.07
2018-06-30,02:27:52,2.07
2018-06-30,03:27:52,2.01
2018-06-30,04:27:52,2.04
2018-06-30,05:27:52,1.97
2018-06-30,06:27:52,1.98
2018-06-30,07:27:52,2.00
2018-06-30,08:27:52,1.99
2018-06-30,09:27:52,2.11
2018-06-30,10:27:52,2.32
2018-06-30,11:27:52,2.41
2018-06-30,12:27:52,2.50
2018-06-30,13:27:52,2.49
2018-06-30,14:27:52,2.60
2018-06-30,15:27:52,2.67
2018-06-30,16:27:52,2.76
2018-06-30,17:27:52,2.87
2018-06-30,18:27:52,3.02
2018-06-30,19:27:52,3.00
2018-06-30,20:27:52,2.98
2018-06-30,21:27:52,3.05
2018-06-30,22:27:52,3.09
2018-06-30,23:27:52,3.08
2018-07-01,00:27:52,3.08
2018-07-01,01:27:52,3.08
2018-07-01,02:27:52,3.10
2018-07-01,03:27:52,3.09
2018-07-01,04:27:52,3.08
2018-07-01,05:27:52,3.06
2018-07-01,06:27:52,3.06
2018-07-01,07:27:52,3.07
2018-07-01,08:27:52,3.08
2018-07-01,09:27:52,3.20
2018-07-01,10:27:52,3.83
2018-07-01,11:27:52,3.89
2018-07-01,12:27:52,4.04
2018-07-01,13:27:52,3.92
2018-07-01,14:27:52,3.94
2018-07-01,15:27:52,3.97
2018-07-01,16:27:52,3.97
2018-07-01,17:27:52,3.99
2018-07-01,18:27:52,4.01
2018-07-01,19:27:52,4.00
2018-07-01,20:27:52,4.00
2018-07-01,21:27:52,4.00
2018-07-01,22:27:52,4.01
2018-07-01,23:27:52,4.01
2018-07-02,00:27:52,4.03
2018-07-02,01:27:52,4.04
2018-07-02,02:27:52,4.15
2018-07-02,03:27:52,4.25
2018-07-02,04:27:52,4.32
2018-07-02,05:27:52,4.27
2018-07-02,06:27:52,4.31
2018-07-02,07:27:52,4.31
2018-07-02,08:27:52,4.34
2018-07-02,09:27:52,4.42
2018-07-02,10:27:52,4.30
2018-07-02,11:27:52,4.41
2018-07-02,12:27:52,4.54
2018-07-02,13:27:52,4.40
2018-07-02,14:27:52,4.52
2018-07-02,15:27:52,4.48
2018-07-02,16:27:52,4.40
2018-07-02,17:27:52,4.21
2018-07-02,18:27:52,4.16
2018-07-02,19:27:52,4.18
2018-07-02,20:27:52,4.34
2018-07-02,21:27:52,4.25
2018-07-02,22:27:52,4.26
2018-07-02,23:27:52,4.44
2018-07-03,00:27:52,4.43
2018-07-03,01:27:52,4.52
2018-07-03,02:27:52,4.51
2018-07-03,03:27:52,4.47
2018-07-03,04:27:52,4.47
2018-07-03,05:27:52,4.36
2018-07-03,06:27:52,4.34
2018-07-03,07:27:52,4.29
2018-07-03,08:27:52,4.22
2018-07-03,09:27:52,4.21
2018-07-03,10:27:52,4.09
2018-07-03,11:27:52,4.11
2018-07-03,12:27:52,4.13
2018-07-03,13:27:52,4.14
2018-07-03,14:27:52,4.12
2018-07-03,15:27:52,4.04
2018-07-03,16:27:52,4.00
2018-07-03,17:27:52,3.95
2018-07-03,18:27:52,3.91
2018-07-03,19:27:52,3.74
2018-07-03,20:27:52,3.47
2018-07-03,21:27:52,3.31
2018-07-03,22:27:52,3.07
2018-07-03,23:27:52,2.93
2018-07-04,00:27:52,2.77
2018-07-04,01:27:52,2.60
2018-07-04,02:27:52,2.40
2018-07-04,03:27:52,2.29
2018-07-04,04:27:52,2.21
2018-07-04,05:27:52,2.19
2018-07-04,06:27:52,2.14
2018-07-04,07:27:52,2.11
2018-07-04,08:27:52,2.10
2018-07-04,09:27:52,2.16
2018-07-04,10:27:52,2.72
2018-07-04,11:27:52,3.31
2018-07-04,12:27:52,4.09
2018-07-04,13:27:52,4.20
2018-07-04,14:27:52,4.28
2018-07-04,15:27:52,4.47
2018-07-04,16:27:52,4.76
2018-07-04,17:27:52,4.97
2018-07-04,18:27:52,4.63
2018-07-04,19:27:52,4.64
2018-07-04,20:27:52,4.55
2018-07-04,21:27:52,4.73
2018-07-04,22:27:52,5.43
2018-07-04,23:27:52,5.49
2018-07-05,00:27:52,6.01
2018-07-05,01:27:52,7.21
2018-07-05,02:27:52,7.20
2018-07-05,03:27:52,6.77
2018-07-05,04:27:52,6.84
2018-07-05,05:27:52,7.33
2018-07-05,06:27:52,6.84
2018-07-05,07:27:52,6.64
2018-07-05,08:27:52,6.48
2018-07-05,09:27:52,6.09
2018-07-05,10:27:52,5.31
2018-07-05,11:27:52,4.60
2018-07-05,12:27:52,6.51
2018-07-05,13:27:52,7.26
2018-07-05,14:27:52,7.36
2018-07-05,15:27:52,7.30
2018-07-05,16:27:52,7.22
2018-07-05,17:27:52,7.15
2018-07-05,18:27:52,6.25
2018-07-05,19:27:52,6.45
2018-07-05,20:27:52,7.14
2018-07-05,21:27:52,6.93
2018-07-05,22:27:52,6.41
2018-07-05,23:27:52,5.55
2018-07-06,00:27:52,6.48
2018-07-06,01:27:52,6.77
2018-07-06,02:27:52,6.96
2018-07-06,03:27:52,6.85
2018-07-06,04:27:52,6.87
2018-07-06,05:27:52,7.04
2018-07-06,06:27:52,7.05
2018-07-06,07:27:52,7.01
2018-07-06,08:27:52,7.38
2018-07-06,09:27:52,7.42
2018-07-06,10:27:52,7.03
2018-07-06,11:27:52,6.62
2018-07-06,12:27:52,6.52
2018-07-06,13:27:52,5.96
2018-07-06,14:27:52,5.70
2018-07-06,15:27:52,5.54
2018-07-06,16:27:52,5.44
2018-07-06,17:27:52,5.14
2018-07-06,18:27:52,4.28
2018-07-06,19:27:52,2.47
2018-07-06,20:27:52,1.89
2018-07-06,21:27:52,1.53
2018-07-06,22:27:52,1.41
2018-07-06,23:27:52,1.01
2018-07-07,00:27:52,0.62
2018-07-07,01:27:52,0.45
2018-07-07,02:27:52,0.31
2018-07-07,03:27:52,0.30
2018-07-07,04:27:52,0.14
2018-07-07,05:27:52,0.10
2018-07-07,06:27:52,0.01
2018-07-07,07:27:52,-0.03
2018-07-07,08:27:52,0.01
2018-07-07,09:27:52,0.05
2018-07-07,10:27:52,0.43
2018-07-07,11:27:52,0.78
2018-07-07,12:27:52,1.12
2018-07-07,13:27:52,1.37
2018-07-07,14:27:52,1.57
2018-07-07,15:27:52,2.79
2018-07-07,16:27:52,3.58
2018-07-07,17:27:52,4.13
2018-07-07,18:27:52,4.41
2018-07-07,19:27:52,4.80
2018-07-07,20:27:52,4.49
2018-07-07,21:27:52,4.28
2018-07-07,22:27:52,4.04
2018-07-07,23:27:52,3.95
2018-07-08,00:27:52,4.09
2018-07-08,01:27:52,4.52
2018-07-08,02:27:52,4.69
2018-07-08,03:27:52,5.18
2018-07-08,04:27:52,5.57
2018-07-08,05:27:52,5.97
2018-07-08,06:27:52,6.13
2018-07-08,07:27:52,6.45
2018-07-08,08:27:52,6.93
2018-07-08,09:27:52,7.14
2018-07-08,10:27:52,7.39
2018-07-08,11:27:52,7.54
2018-07-08,12:27:52,7.66
2018-07-08,13:27:52,7.63
2018-07-08,14:27:52,7.60
2018-07-08,15:27:52,7.60
2018-07-08,16:27:52,6.98
2018-07-08,17:27:52,5.36
2018-07-08,18:27:52,4.53
2018-07-08,19:27:52,3.69
2018-07-08,20:27:52,3.15
2018-07-08,21:27:52,2.91
2018-07-08,22:27:52,2.51
2018-07-08,23:27:52,2.39
2018-07-09,00:27:52,2.22
2018-07-09,01:27:52,2.19
2018-07-09,02:27:52,2.23
2018-07-09,03:27:52,2.25
2018-07-09,04:27:52,2.31
2018-07-09,05:27:52,3.36
2018-07-09,06:27:52,6.02
2018-07-09,07:27:52,6.52
2018-07-09,08:27:52,6.96
2018-07-09,09:27:52,7.04
2018-07-09,10:27:52,7.02
2018-07-09,11:27:52,6.84
2018-07-09,12:27:52,6.35
2018-07-09,13:27:52,5.97
2018-07-09,14:27:52,4.91
2018-07-09,15:27:52,4.81
2018-07-09,16:27:52,4.20
2018-07-09,17:27:52,3.47
2018-07-09,18:27:52,3.18
2018-07-09,19:27:52,2.68
2018-07-09,20:27:52,2.39
2018-07-09,21:27:52,2.20
2018-07-09,22:27:52,1.95
2018-07-09,23:27:52,1.73
2018-07-10,00:27:52,1.66
2018-07-10,01:27:52,1.41
2018-07-10,02:27:52,1.34
2018-07-10,03:27:52,1.18
2018-07-10,04:27:52,1.14
2018-07-10,05:27:52,1.41
2018-07-10,06:27:52,1.52
2018-07-10,07:27:52,1.63
2018-07-10,08:27:52,1.92
2018-07-10,09:27:52,2.04
2018-07-10,10:27:52,3.10
2018-07-10,11:27:52,3.92
2018-07-10,12:27:52,4.26
2018-07-10,13:27:52,4.44
2018-07-10,14:27:52,4.43
2018-07-10,15:27:52,4.05
2018-07-10,16:27:52,3.20
2018-07-10,17:27:52,2.83
2018-07-10,18:27:52,2.69
2018-07-10,19:27:52,2.11
2018-07-10,20:27:52,2.06
2018-07-10,21:27:52,2.01
2018-07-10,22:27:52,1.85
2018-07-10,23:27:52,1.58
2018-07-11,00:27:52,1.49
2018-07-11,01:27:52,1.42
2018-07-11,02:27:52,1.36
2018-07-11,03:27:52,1.43
2018-07-11,04:27:52,1.40
2018-07-11,05:27:52,1.53
2018-07-11,06:27:52,1.63
2018-07-11,07:27:52,2.02
2018-07-11,08:27:52,2.53
2018-07-11,09:27:52,4.02
2018-07-11,10:27:52,4.94
2018-07-11,11:27:52,5.60
2018-07-11,12:27:52,6.27
2018-07-11,13:27:52,6.19
2018-07-11,14:27:52,6.15
2018-07-11,15:27:52,5.62
2018-07-11,16:27:52,5.25
2018-07-11,17:27:52,6.39
2018-07-11,18:27:52,6.28
2018-07-11,19:27:52,5.87
2018-07-11,20:27:52,5.58
2018-07-11,21:27:52,5.88
2018-07-11,22:27:52,5.66
2018-07-11,23:27:52,5.58
2018-07-12,00:27:52,5.31
2018-07-12,01:27:52,5.16
2018-07-12,02:27:52,4.61
2018-07-12,03:27:52,3.83
2018-07-12,04:27:52,3.35
2018-07-12,05:27:52,3.29
2018-07-12,06:27:52,3.90
2018-07-12,07:27:52,4.06
2018-07-12,08:27:52,4.57
2018-07-12,09:27:52,5.19
2018-07-12,10:27:52,5.72
2018-07-12,11:27:52,5.96
2018-07-12,12:27:52,6.28
2018-07-12,13:27:52,6.67
2018-07-12,14:27:52,7.02
2018-07-12,15:27:52,7.29
2018-07-12,16:27:52,6.64
2018-07-12,17:27:52,6.57
2018-07-12,18:27:52,7.15
2018-07-12,19:27:52,7.58
2018-07-12,20:27:52,7.84
2018-07-12,21:27:52,8.05
2018-07-12,22:27:52,8.21
2018-07-12,23:27:52,8.47
2018-07-13,00:27:52,8.41
2018-07-13,01:27:52,8.34
2018-07-13,02:27:52,8.42
2018-07-13,03:27:52,8.54
2018-07-13,04:27:52,8.83
2018-07-13,05:27:52,5.14
2018-07-13,06:27:52,4.71
2018-07-13,07:27:52,3.67
2018-07-13,08:27:52,5.30
2018-07-13,09:27:52,6.89
2018-07-13,10:27:52,6.81
2018-07-13,11:27:52,6.91
2018-07-13,12:27:52,6.78
2018-07-13,13:27:52,6.74
2018-07-13,14:27:52,6.71
2018-07-13,15:27:52,6.85
2018-07-13,16:27:52,6.93
2018-07-13,17:27:52,7.06
2018-07-13,18:27:52,6.89
2018-07-13,19:27:52,6.82
2018-07-13,20:27:52,6.68
2018-07-13,21:27:52,6.51
2018-07-13,22:27:52,6.31
2018-07-13,23:27:52,6.02
2018-07-14,00:27:52,5.55
2018-07-14,01:27:52,5.37
2018-07-14,02:27:52,3.25
2018-07-14,03:27:52,2.98
2018-07-14,04:27:52,2.89
2018-07-14,05:27:52,3.28
2018-07-14,06:27:52,4.68
2018-07-14,07:27:52,5.93
2018-07-14,08:27:52,6.93
2018-07-14,09:27:52,7.17
2018-07-14,10:27:52,7.37
2018-07-14,11:27:52,7.45
2018-07-14,12:27:52,7.37
2018-07-14,13:27:52,7.25
2018-07-14,14:27:52,6.08
2018-07-14,15:27:52,5.29
2018-07-14,16:27:52,5.39
2018-07-14,17:27:52,5.44
2018-07-14,18:27:52,5.55
2018-07-14,19:27:52,5.61
2018-07-14,20:27:52,5.47
2018-07-14,21:27:52,5.83
2018-07-14,22:27:52,6.53
2018-07-14,23:27:52,7.01
2018-07-15,00:27:52,7.15
2018-07-15,01:27:52,7.43
2018-07-15,02:27:52,7.56
2018-07-15,03:27:52,7.28
2018-07-15,04:27:52,6.48
2018-07-15,05:27:52,5.93
2018-07-15,06:27:52,5.45
2018-07-15,07:27:52,4.88
2018-07-15,08:27:52,4.71
2018-07-15,09:27:52,4.58
2018-07-15,10:27:52,4.51
2018-07-15,11:27:52,4.42
2018-07-15,12:27:52,5.15
2018-07-15,13:27:52,5.20
2018-07-15,14:27:52,5.29
2018-07-15,15:27:52,5.29
2018-07-15,16:27:52,5.06
2018-07-15,17:27:52,5.23
2018-07-15,18:27:52,5.86
2018-07-15,19:27:52,6.06
2018-07-15,20:27:52,6.15
2018-07-15,21:27:52,6.21
2018-07-15,22:27:52,6.20
2018-07-15,23:27:52,5.67
2018-07-16,00:27:52,5.36
2018-07-16,01:27:52,4.77
2018-07-16,02:27:52,5.16
2018-07-16,03:27:52,4.23
2018-07-16,04:27:52,4.27
2018-07-16,05:27:52,4.85
2018-07-16,06:27:52,5.17
2018-07-16,07:27:52,4.91
2018-07-16,08:27:52,4.53
2018-07-16,09:27:52,4.57
2018-07-16,10:27:52,4.83
2018-07-16,11:27:52,5.30
2018-07-16,12:27:52,5.80
2018-07-16,13:27:52,5.90
2018-07-16,14:27:52,5.93
2018-07-16,15:27:52,5.92
2018-07-16,16:27:52,5.79
2018-07-16,17:27:52,5.15
2018-07-16,18:27:52,4.64
2018-07-16,19:27:52,4.14
2018-07-16,20:27:52,4.23
2018-07-16,21:27:52,4.42
2018-07-16,22:27:52,5.35
2018-07-16,23:27:52,5.38
2018-07-17,00:27:52,5.30
2018-07-17,01:27:52,5.67
2018-07-17,02:27:52,5.76
2018-07-17,03:27:52,5.93
2018-07-17,04:27:52,6.34
2018-07-17,05:27:52,6.45
2018-07-17,06:27:52,6.42
2018-07-17,07:27:52,5.82
2018-07-17,08:27:52,5.10
2018-07-17,09:27:52,5.16
2018-07-17,10:27:52,5.35
2018-07-17,11:27:52,5.42
2018-07-17,12:27:52,5.43
2018-07-17,13:27:52,5.96
2018-07-17,14:27:52,6.37
2018-07-17,15:27:52,6.48
2018-07-17,16:27:52,6.51
2018-07-17,17:27:52,6.58
2018-07-17,18:27:52,6.59
2018-07-17,19:27:52,6.62
