* ID=Minilog-II-T
* Serial Number=354548
* Study ID=Melrose 2018 (5m)
* Start Time=2018-06-15 14:31:13
* Finish Time=2018-10-10 11:31:13
* Sample Period=01:00:00
* Date(yyyy-mm-dd),Time(hh:mm:ss),Temperature (°C)
2018-07-08,18:31:13,7.84
2018-07-08,19:31:13,7.44
2018-07-08,20:31:13,7.22
2018-07-08,21:31:13,5.07
2018-07-08,22:31:13,3.80
2018-07-08,23:31:13,3.27
2018-07-09,00:31:13,3.78
2018-07-09,01:31:13,3.66
2018-07-09,02:31:13,3.26
2018-07-09,03:31:13,3.25
2018-07-09,04:31:13,3.11
2018-07-09,05:31:13,7.36
2018-07-09,06:31:13,8.17
2018-07-09,07:31:13,7.95
2018-07-09,08:31:13,7.97
2018-07-09,09:31:13,7.94
2018-07-09,10:31:13,7.94
2018-07-09,11:31:13,7.96
2018-07-09,12:31:13,8.03
2018-07-09,13:31:13,8.02
2018-07-09,14:31:13,7.82
2018-07-09,15:31:13,7.29
2018-07-09,16:31:13,7.14
2018-07-09,17:31:13,5.49
2018-07-09,18:31:13,4.99
2018-07-09,19:31:13,4.61
2018-07-09,20:31:13,4.09
2018-07-09,21:31:13,3.05
2018-07-09,22:31:13,2.98
2018-07-09,23:31:13,2.56
2018-07-10,00:31:13,2.25
2018-07-10,01:31:13,1.96
2018-07-10,02:31:13,1.58
2018-07-10,03:31:13,1.65
2018-07-10,04:31:13,1.95
2018-07-10,05:31:13,2.02
2018-07-10,06:31:13,1.91
2018-07-10,07:31:13,2.37
2018-07-10,08:31:13,2.49
2018-07-10,09:31:13,2.86
2018-07-10,10:31:13,4.79
2018-07-10,11:31:13,6.13
2018-07-10,12:31:13,5.92
2018-07-10,13:31:13,5.91
2018-07-10,14:31:13,5.69
2018-07-10,15:31:13,4.88
2018-07-10,16:31:13,5.28
2018-07-10,17:31:13,4.52
2018-07-10,18:31:13,4.25
2018-07-10,19:31:13,3.15
2018-07-10,20:31:13,3.29
2018-07-10,21:31:13,2.67
2018-07-10,22:31:13,2.91
2018-07-10,23:31:13,2.28
2018-07-11,00:31:13,2.05
2018-07-11,01:31:13,1.95
2018-07-11,02:31:13,1.83
2018-07-11,03:31:13,1.75
2018-07-11,04:31:13,1.92
2018-07-11,05:31:13,2.25
2018-07-11,06:31:13,2.38
2018-07-11,07:31:13,3.11
2018-07-11,08:31:13,4.81
2018-07-11,09:31:13,6.16
2018-07-11,10:31:13,7.28
2018-07-11,11:31:13,7.39
2018-07-11,12:31:13,7.24
2018-07-11,13:31:13,7.41
2018-07-11,14:31:13,7.34
2018-07-11,15:31:13,7.25
2018-07-11,16:31:13,7.32
2018-07-11,17:31:13,7.34
2018-07-11,18:31:13,6.40
2018-07-11,19:31:13,6.39
2018-07-11,20:31:13,6.27
2018-07-11,21:31:13,6.77
2018-07-11,22:31:13,6.73
2018-07-11,23:31:13,6.71
2018-07-12,00:31:13,6.74
2018-07-12,01:31:13,6.72
2018-07-12,02:31:13,6.45
2018-07-12,03:31:13,5.79
2018-07-12,04:31:13,5.82
2018-07-12,05:31:13,5.85
2018-07-12,06:31:13,5.77
2018-07-12,07:31:13,5.81
2018-07-12,08:31:13,6.08
2018-07-12,09:31:13,6.17
2018-07-12,10:31:13,6.91
2018-07-12,11:31:13,7.35
2018-07-12,12:31:13,6.92
2018-07-12,13:31:13,7.42
2018-07-12,14:31:13,7.88
2018-07-12,15:31:13,7.87
2018-07-12,16:31:13,7.63
2018-07-12,17:31:13,7.87
2018-07-12,18:31:13,8.12
2018-07-12,19:31:13,8.44
2018-07-12,20:31:13,8.83
2018-07-12,21:31:13,9.12
2018-07-12,22:31:13,9.12
2018-07-12,23:31:13,9.18
2018-07-13,00:31:13,8.87
2018-07-13,01:31:13,8.90
2018-07-13,02:31:13,8.92
2018-07-13,03:31:13,9.04
2018-07-13,04:31:13,8.94
2018-07-13,05:31:13,8.85
2018-07-13,06:31:13,8.83
2018-07-13,07:31:13,8.82
2018-07-13,08:31:13,8.76
2018-07-13,09:31:13,8.72
2018-07-13,10:31:13,8.44
2018-07-13,11:31:13,8.20
2018-07-13,12:31:13,8.08
2018-07-13,13:31:13,8.01
2018-07-13,14:31:13,7.93
2018-07-13,15:31:13,7.87
2018-07-13,16:31:13,7.88
2018-07-13,17:31:13,7.96
2018-07-13,18:31:13,7.82
2018-07-13,19:31:13,7.71
2018-07-13,20:31:13,8.01
2018-07-13,21:31:13,7.81
2018-07-13,22:31:13,7.91
2018-07-13,23:31:13,7.36
2018-07-14,00:31:13,7.28
2018-07-14,01:31:13,7.79
2018-07-14,02:31:13,7.14
2018-07-14,03:31:13,7.15
2018-07-14,04:31:13,7.19
2018-07-14,05:31:13,7.15
2018-07-14,06:31:13,7.51
2018-07-14,07:31:13,7.65
2018-07-14,08:31:13,7.66
2018-07-14,09:31:13,7.66
2018-07-14,10:31:13,7.66
2018-07-14,11:31:13,7.81
2018-07-14,12:31:13,7.79
2018-07-14,13:31:13,7.69
2018-07-14,14:31:13,7.66
2018-07-14,15:31:13,7.67
2018-07-14,16:31:13,7.68
2018-07-14,17:31:13,7.69
2018-07-14,18:31:13,7.54
2018-07-14,19:31:13,7.27
2018-07-14,20:31:13,7.22
2018-07-14,21:31:13,7.74
2018-07-14,22:31:13,7.63
2018-07-14,23:31:13,7.81
2018-07-15,00:31:13,7.91
2018-07-15,01:31:13,8.05
2018-07-15,02:31:13,8.04
