* ID=Minilog-II-T
* Serial Number=354547
* Study ID=Comfort Cove 2018
* Start Time=2018-05-21 18:39:38
* Finish Time=2018-11-28 15:39:38
* Sample Period=01:00:00
* Date(yyyy-mm-dd),Time(hh:mm:ss),Temperature (°C)
2018-06-06,10:39:38,3.87
2018-06-06,11:39:38,3.95
2018-06-06,12:39:38,4.22
2018-06-06,13:39:38,4.71
2018-06-06,14:39:38,4.58
2018-06-06,15:39:38,4.57
2018-06-06,16:39:38,4.49
2018-06-06,17:39:38,4.46
2018-06-06,18:39:38,4.44
2018-06-06,19:39:38,4.79
2018-06-06,20:39:38,4.58
2018-06-06,21:39:38,4.63
2018-06-06,22:39:38,4.69
2018-06-06,23:39:38,4.44
2018-06-07,00:39:38,4.50
2018-06-07,01:39:38,4.43
2018-06-07,02:39:38,4.43
2018-06-07,03:39:38,4.66
2018-06-07,04:39:38,4.74
2018-06-07,05:39:38,4.71
2018-06-07,06:39:38,4.61
2018-06-07,07:39:38,4.65
2018-06-07,08:39:38,4.62
2018-06-07,09:39:38,4.83
2018-06-07,10:39:38,4.79
2018-06-07,11:39:38,4.77
2018-06-07,12:39:38,4.71
2018-06-07,13:39:38,4.50
2018-06-07,14:39:38,4.68
2018-06-07,15:39:38,4.68
2018-06-07,16:39:38,4.88
2018-06-07,17:39:38,4.98
2018-06-07,18:39:38,4.86
2018-06-07,19:39:38,4.91
2018-06-07,20:39:38,4.93
2018-06-07,21:39:38,4.88
2018-06-07,22:39:38,4.88
2018-06-07,23:39:38,4.98
2018-06-08,00:39:38,4.62
2018-06-08,01:39:38,4.43
2018-06-08,02:39:38,4.47
2018-06-08,03:39:38,3.76
2018-06-08,04:39:38,3.89
2018-06-08,05:39:38,3.96
2018-06-08,06:39:38,4.11
2018-06-08,07:39:38,4.32
2018-06-08,08:39:38,4.32
2018-06-08,09:39:38,4.59
2018-06-08,10:39:38,4.36
2018-06-08,11:39:38,4.42
2018-06-08,12:39:38,4.54
2018-06-08,13:39:38,4.72
2018-06-08,14:39:38,4.61
2018-06-08,15:39:38,4.60
2018-06-08,16:39:38,4.75
2018-06-08,17:39:38,4.65
2018-06-08,18:39:38,4.48
2018-06-08,19:39:38,4.18
2018-06-08,20:39:38,4.11
2018-06-08,21:39:38,4.32
2018-06-08,22:39:38,4.39
2018-06-08,23:39:38,4.49
2018-06-09,00:39:38,5.27
2018-06-09,01:39:38,5.65
2018-06-09,02:39:38,5.89
2018-06-09,03:39:38,6.17
2018-06-09,04:39:38,6.08
2018-06-09,05:39:38,6.21
2018-06-09,06:39:38,6.39
2018-06-09,07:39:38,6.22
2018-06-09,08:39:38,6.60
2018-06-09,09:39:38,6.64
2018-06-09,10:39:38,6.69
2018-06-09,11:39:38,6.81
2018-06-09,12:39:38,6.91
2018-06-09,13:39:38,7.04
2018-06-09,14:39:38,6.93
2018-06-09,15:39:38,7.11
2018-06-09,16:39:38,7.10
2018-06-09,17:39:38,7.15
2018-06-09,18:39:38,7.15
2018-06-09,19:39:38,6.90
2018-06-09,20:39:38,6.96
2018-06-09,21:39:38,7.10
2018-06-09,22:39:38,7.40
2018-06-09,23:39:38,6.64
2018-06-10,00:39:38,6.53
2018-06-10,01:39:38,6.40
2018-06-10,02:39:38,5.89
2018-06-10,03:39:38,4.93
2018-06-10,04:39:38,6.12
2018-06-10,05:39:38,6.48
2018-06-10,06:39:38,6.61
2018-06-10,07:39:38,6.93
2018-06-10,08:39:38,6.78
2018-06-10,09:39:38,6.98
2018-06-10,10:39:38,7.34
2018-06-10,11:39:38,7.88
2018-06-10,12:39:38,7.91
2018-06-10,13:39:38,7.60
2018-06-10,14:39:38,7.77
2018-06-10,15:39:38,7.60
2018-06-10,16:39:38,7.57
2018-06-10,17:39:38,7.57
2018-06-10,18:39:38,7.40
2018-06-10,19:39:38,7.21
2018-06-10,20:39:38,4.62
2018-06-10,21:39:38,5.21
2018-06-10,22:39:38,4.75
2018-06-10,23:39:38,6.31
2018-06-11,00:39:38,6.91
2018-06-11,01:39:38,6.24
2018-06-11,02:39:38,5.28
2018-06-11,03:39:38,3.22
2018-06-11,04:39:38,2.85
2018-06-11,05:39:38,2.64
2018-06-11,06:39:38,2.33
2018-06-11,07:39:38,2.99
2018-06-11,08:39:38,2.81
2018-06-11,09:39:38,3.62
2018-06-11,10:39:38,3.45
2018-06-11,11:39:38,6.85
2018-06-11,12:39:38,6.56
2018-06-11,13:39:38,6.42
2018-06-11,14:39:38,5.60
2018-06-11,15:39:38,4.72
2018-06-11,16:39:38,4.48
2018-06-11,17:39:38,4.67
2018-06-11,18:39:38,3.98
2018-06-11,19:39:38,4.32
2018-06-11,20:39:38,4.70
2018-06-11,21:39:38,4.73
2018-06-11,22:39:38,4.71
2018-06-11,23:39:38,5.01
2018-06-12,00:39:38,5.17
2018-06-12,01:39:38,4.79
2018-06-12,02:39:38,4.38
2018-06-12,03:39:38,5.11
2018-06-12,04:39:38,3.81
2018-06-12,05:39:38,2.89
2018-06-12,06:39:38,2.65
2018-06-12,07:39:38,2.39
2018-06-12,08:39:38,2.46
2018-06-12,09:39:38,2.48
2018-06-12,10:39:38,2.61
2018-06-12,11:39:38,3.43
2018-06-12,12:39:38,4.72
2018-06-12,13:39:38,5.26
2018-06-12,14:39:38,5.32
2018-06-12,15:39:38,5.88
2018-06-12,16:39:38,5.30
2018-06-12,17:39:38,5.45
2018-06-12,18:39:38,4.62
2018-06-12,19:39:38,4.80
2018-06-12,20:39:38,4.36
2018-06-12,21:39:38,4.76
2018-06-12,22:39:38,4.34
2018-06-12,23:39:38,4.65
2018-06-13,00:39:38,5.11
2018-06-13,01:39:38,5.21
2018-06-13,02:39:38,6.28
2018-06-13,03:39:38,7.05
2018-06-13,04:39:38,6.91
2018-06-13,05:39:38,6.72
2018-06-13,06:39:38,5.13
2018-06-13,07:39:38,4.85
2018-06-13,08:39:38,3.29
2018-06-13,09:39:38,3.28
2018-06-13,10:39:38,3.61
2018-06-13,11:39:38,3.53
2018-06-13,12:39:38,4.99
2018-06-13,13:39:38,6.69
2018-06-13,14:39:38,7.18
2018-06-13,15:39:38,7.47
2018-06-13,16:39:38,7.61
2018-06-13,17:39:38,7.95
2018-06-13,18:39:38,8.08
2018-06-13,19:39:38,8.05
2018-06-13,20:39:38,8.10
2018-06-13,21:39:38,8.05
2018-06-13,22:39:38,8.01
2018-06-13,23:39:38,7.91
2018-06-14,00:39:38,7.83
2018-06-14,01:39:38,7.81
2018-06-14,02:39:38,7.76
2018-06-14,03:39:38,7.68
2018-06-14,04:39:38,7.65
2018-06-14,05:39:38,7.67
2018-06-14,06:39:38,7.63
2018-06-14,07:39:38,7.62
2018-06-14,08:39:38,6.63
2018-06-14,09:39:38,6.50
2018-06-14,10:39:38,5.36
2018-06-14,11:39:38,6.45
2018-06-14,12:39:38,6.69
2018-06-14,13:39:38,6.35
2018-06-14,14:39:38,6.79
2018-06-14,15:39:38,6.74
2018-06-14,16:39:38,6.75
2018-06-14,17:39:38,6.43
2018-06-14,18:39:38,6.57
2018-06-14,19:39:38,5.11
2018-06-14,20:39:38,5.07
2018-06-14,21:39:38,4.96
2018-06-14,22:39:38,5.14
2018-06-14,23:39:38,4.54
2018-06-15,00:39:38,4.45
2018-06-15,01:39:38,4.56
2018-06-15,02:39:38,5.12
2018-06-15,03:39:38,4.79
2018-06-15,04:39:38,5.10
2018-06-15,05:39:38,5.03
2018-06-15,06:39:38,5.09
2018-06-15,07:39:38,5.48
2018-06-15,08:39:38,5.56
2018-06-15,09:39:38,5.62
2018-06-15,10:39:38,5.65
2018-06-15,11:39:38,5.61
2018-06-15,12:39:38,5.56
