* ID=Minilog-II-T
* Serial Number=350863
* Study ID=Winterton 2018
* Start Time=2018-05-23 10:22:30
* Finish Time=2018-10-12 15:22:30
* Sample Period=01:00:00
* Date(yyyy-mm-dd),Time(hh:mm:ss),Temperature (°C)
2018-05-13,14:22:30,1.82
2018-05-13,15:22:30,1.79
2018-05-13,16:22:30,2.10
2018-05-13,17:22:30,2.19
2018-05-13,18:22:30,1.91
2018-05-13,19:22:30,1.90
2018-05-13,20:22:30,1.85
2018-05-13,21:22:30,2.09
2018-05-13,22:22:30,1.95
2018-05-13,23:22:30,2.08
2018-05-14,00:22:30,2.19
2018-05-14,01:22:30,2.14
2018-05-14,02:22:30,2.04
2018-05-14,03:22:30,1.74
2018-05-14,04:22:30,1.82
2018-05-14,05:22:30,1.67
2018-05-14,06:22:30,1.64
2018-05-14,07:22:30,1.65
2018-05-14,08:22:30,1.84
2018-05-14,09:22:30,1.70
2018-05-14,10:22:30,1.69
2018-05-14,11:22:30,1.57
2018-05-14,12:22:30,1.61
2018-05-14,13:22:30,2.43
2018-05-14,14:22:30,2.66
2018-05-14,15:22:30,2.62
2018-05-14,16:22:30,2.90
2018-05-14,17:22:30,2.40
2018-05-14,18:22:30,2.66
2018-05-14,19:22:30,2.69
2018-05-14,20:22:30,2.88
2018-05-14,21:22:30,2.87
2018-05-14,22:22:30,2.94
2018-05-14,23:22:30,3.02
2018-05-15,00:22:30,2.90
2018-05-15,01:22:30,2.87
2018-05-15,02:22:30,2.85
2018-05-15,03:22:30,2.93
2018-05-15,04:22:30,2.83
2018-05-15,05:22:30,2.93
2018-05-15,06:22:30,2.97
2018-05-15,07:22:30,3.04
2018-05-15,08:22:30,2.96
2018-05-15,09:22:30,3.00
2018-05-15,10:22:30,2.69
2018-05-15,11:22:30,2.66
2018-05-15,12:22:30,2.66
2018-05-15,13:22:30,2.66
2018-05-15,14:22:30,3.09
2018-05-15,15:22:30,2.71
2018-05-15,16:22:30,2.35
2018-05-15,17:22:30,2.32
2018-05-15,18:22:30,2.36
2018-05-15,19:22:30,3.51
2018-05-15,20:22:30,3.55
2018-05-15,21:22:30,2.83
2018-05-15,22:22:30,2.94
2018-05-15,23:22:30,3.52
2018-05-16,00:22:30,3.61
2018-05-16,01:22:30,3.08
2018-05-16,02:22:30,2.33
2018-05-16,03:22:30,2.94
2018-05-16,04:22:30,2.49
2018-05-16,05:22:30,2.67
2018-05-16,06:22:30,2.96
2018-05-16,07:22:30,2.92
2018-05-16,08:22:30,2.91
2018-05-16,09:22:30,3.47
2018-05-16,10:22:30,3.53
2018-05-16,11:22:30,2.54
2018-05-16,12:22:30,2.36
2018-05-16,13:22:30,2.38
2018-05-16,14:22:30,2.86
2018-05-16,15:22:30,2.53
2018-05-16,16:22:30,2.54
2018-05-16,17:22:30,2.83
2018-05-16,18:22:30,2.82
2018-05-16,19:22:30,2.62
2018-05-16,20:22:30,2.52
2018-05-16,21:22:30,2.36
2018-05-16,22:22:30,2.21
2018-05-16,23:22:30,2.24
2018-05-17,00:22:30,2.06
2018-05-17,01:22:30,2.04
2018-05-17,02:22:30,2.04
2018-05-17,03:22:30,2.07
2018-05-17,04:22:30,2.07
2018-05-17,05:22:30,2.07
2018-05-17,06:22:30,2.79
2018-05-17,07:22:30,3.12
2018-05-17,08:22:30,2.85
2018-05-17,09:22:30,2.85
2018-05-17,10:22:30,2.88
2018-05-17,11:22:30,2.82
2018-05-17,12:22:30,2.26
2018-05-17,13:22:30,2.35
2018-05-17,14:22:30,2.58
2018-05-17,15:22:30,3.13
2018-05-17,16:22:30,3.17
2018-05-17,17:22:30,3.19
2018-05-17,18:22:30,3.11
2018-05-17,19:22:30,3.11
2018-05-17,20:22:30,3.08
2018-05-17,21:22:30,2.91
2018-05-17,22:22:30,2.71
2018-05-17,23:22:30,2.69
2018-05-18,00:22:30,2.70
2018-05-18,01:22:30,2.72
2018-05-18,02:22:30,2.89
